City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
87,mogadishu,92,SO,1531530875,100,2.04,45.34,75.93,21.32
88,kodiak,20,US,1531525980,66,39.95,-94.76,84.2,10.29
89,jamestown,0,AU,1531530875,55,-33.21,138.6,42.81,9.57
90,panama city,1,US,1531526160,66,30.16,-85.65,86.0,8.05
91,georgetown,20,GY,1531526400,94,6.8,-58.16,77.0,2.24
92,changji,0,CN,1531530876,81,32.07,116.17,86.82,6.22
93,griffith,36,AU,1531530876,100,-34.29,146.06,42.99,4.43
94,nazilli,0,TR,1531530877,61,37.91,28.32,64.05,2.42
95,arraial do cabo,36,BR,1531530877,90,-22.97,-42.02,71.43,8.79
96,rocha,88,UY,1531530877,89,-34.48,-54.34,49.2,5.99
97,yellowknife,75,CA,1531526400,87,62.45,-114.38,59.0,11.41
98,gusau,92,NG,1531530878,86,12.17,6.66,73.59,10.13
99,kajaani,20,FI,1531529400,93,64.22,27.73,53.6,1.12
100,ostersund,0,SE,1531529400,82,63.18,14.64,57.2,8.05
101,ust-kulom,88,RU,1531530878,80,61.69,53.69,66.21,2.75
102,deep river,90,CA,1531526400,69,46.1,-77.49,75.2,2.24
103,lata,76,IN,1531530879,100,30.78,78.62,58.47,1.74
104,bati,92,ET,1531530879,85,11.19,40.02,67.2,4.88
105,west bay,0,GB,1531529400,87,50.71,-2.76,59.0,2.24
106,esperance,40,TT,1531526400,94,10.24,-61.45,77.0,6.93
107,barcelos,75,PT,1531530000,93,41.53,-8.62,64.4,3.36
108,provideniya,44,RU,1531530880,100,64.42,-173.23,42.9,10.92
109,bethel,90,US,1531529580,76,60.79,-161.76,55.4,16.11
110,qasigiannguit,75,GL,1531525800,75,68.82,-51.19,44.6,2.24
111,clyde river,90,CA,1531526400,86,70.47,-68.59,39.2,21.92
112,nizwa,0,OM,1531530881,36,22.93,57.53,85.11,5.66
113,vaini,92,IN,1531530881,98,15.34,74.49,70.26,8.34
114,portland,75,US,1531529580,22,45.52,-122.67,91.4,9.17
115,ancud,100,CL,1531530881,100,-41.87,-73.83,47.49,5.77
116,ilorin,32,NG,1531530882,91,8.5,4.55,72.69,7.45
117,butaritari,80,KI,1531530882,100,3.07,172.79,82.05,8.79
118,castro,100,CL,1531530882,100,-42.48,-73.76,48.39,5.77
119,timra,0,SE,1531529400,93,62.49,17.33,55.4,4.7
120,lixourion,0,GR,1531530883,88,38.2,20.43,77.19,20.54
121,kaitangata,20,NZ,1531530883,69,-46.28,169.85,46.59,3.87
122,olinda,40,EC,1531526400,69,-2.03,-79.75,78.8,6.93
123,maragogi,32,BR,1531530665,88,-9.01,-35.22,71.61,7.78
124,ucluelet,20,CA,1531526400,56,48.94,-125.55,69.8,11.41
125,suntar,8,RU,1531530884,72,62.16,117.65,67.65,4.09
126,tuatapere,0,NZ,1531530884,100,-46.13,167.69,49.02,4.65
127,sitka,8,US,1531530884,36,37.17,-99.65,94.29,11.81
128,ayorou,0,NE,1531530885,51,14.73,0.92,84.48,9.57
129,vao,48,EE,1531530885,90,59.1,26.19,61.17,2.75
130,karaton,20,ID,1531530000,69,-6.34,106.1,80.6,4.7
131,hervey bay,0,AU,1531530885,100,-25.3,152.85,57.03,7.45
132,indramayu,20,ID,1531530885,88,-4.05,103.78,62.52,3.2
133,sidi ali,32,DZ,1531530886,94,36.1,0.42,68.37,2.75
134,constantine,20,DZ,1531528200,18,36.36,6.61,84.2,4.7
135,thompson,40,CA,1531526400,37,55.74,-97.86,82.4,4.7
136,cidreira,20,BR,1531530886,84,-30.17,-50.22,49.11,3.31
137,joao pinheiro,68,BR,1531530887,62,-17.74,-46.17,66.93,3.98
138,prado,8,BR,1531530887,100,-17.34,-39.22,75.75,8.01
139,tocopilla,0,CL,1531530887,99,-22.09,-70.2,59.91,0.85
140,makakilo city,90,US,1531526220,54,21.35,-158.09,87.8,10.29
141,bontang,8,ID,1531530888,99,0.12,117.47,80.97,9.57
142,dunedin,0,NZ,1531530628,64,-45.87,170.5,47.58,3.65
143,quthing,92,LS,1531530888,100,-30.4,27.7,42.36,2.64
144,bocaiuva,80,BR,1531530888,66,-17.12,-43.81,67.02,3.87
145,saint george,20,GR,1531529400,73,39.45,22.34,73.4,3.36
146,grindavik,90,IS,1531528200,100,63.84,-22.43,50.0,10.29
147,saint-philippe,1,CA,1531529700,88,45.36,-73.48,80.6,5.44
148,hermanus,92,ZA,1531530889,98,-34.42,19.24,48.75,2.86
149,broken hill,0,AU,1531530890,88,-31.97,141.45,42.45,5.44
150,kloulklubed,90,PW,1531526040,88,7.04,134.26,78.8,12.75
